2,6.15858,2,7.87658,6.08333,2.02973,2.63808,3.796,7.71153,2,8.42677,2.56141,2,2,14.5467,2,2.39934,2,5.90962,2,2,3.65899,2,2,9.73238,2.73131,2.02988,10.3698,2,2,10.4211,2,5.24137,2.74438,2,2,2,2.00023,2,4.97728,
2,3.16,8.56917,12.3673,2.00502,4.67298,6.75889,2,6.77072,5.75384,10.4211,4.51333,2,6.77072,10.4211,2,2,5.75561,7.87262,2.00001,2.31625,0.468025,13.6787,10.6224,9.74946,2.73385,3.65899,2.46611,2.70059,3.67876,2.00036,2.37764,7.61405,18.0855,3.44518,7.08303,3.59207,2.99497,10.0001,2.39934,
2,2,16.2289,2,16.3699,5.57544,2,7.18819,12.6027,7.33615,2,2,10.5384,6.77072,7.68296,8.47315,7.07915,3.33156,6.77072,11.0797,2.13969,4.57663,9.35266,10.4211,2,9.73447,4.39589,7.56375,14.632,7.61405,13.6787,1.66059,7.31954,2.3934,2.71781,9.43371,8.0463,8.93278,15.385,11.1762,
18.6126,2,2.21378,16.9568,10.4211,7.42566,9.21241,0.357257,6.77072,10.4355,2.00002,9.3414,7.10092,14.49,5.40114,10.4211,7.61405,2,4.81499,8.42768,17.2629,10.6283,9.61039,10.9409,2.55241,14.7103,7.9368,16.3699,12.6027,2.40878,10.4211,17.463,11.1413,8.52068,8.47315,9.73447,7.68296,4.65175,14.6038,10.5454,
15.6615,16.6951,9.0971,17.3725,2.6575,3.84811,10.4211,6.77072,17.0367,16.2168,15.3815,14.6436,2.25646,3.72729,18.0262,15.9375,10.5838,3.33892,14.49,10.8773,14.5868,6.77072,2,2,2,16.9635,10.4211,9.73447,15.0088,13.7881,7.15146,10.4211,18.6126,11.0133,16.3699,7.69778,12.6027,2.02973,11.7069,14.484,
6.77072,2,7.02129,15.7864,6.77072,6.77072,22.7123,10.7937,13.7505,15.6615,2,16.6951,3.4232,2,15.1955,12.1422,14.49,9.70104,12.1497,6.21054,6.46103,7.29474,14.5868,10.7508,12.6027,10.1756,18.0262,16.3865,14.484,17.0367,18.6126,18.0579,17.3725,16.3699,10.718,16.0948,14.5493,14.4898,14.49,4.84096,
11.1784,2,10.4355,18.5502,2,15.6615,9.88309,18.6126,6.77072,15.7864,19.8814,16.3699,11.8075,6.77072,6.77072,23.8192,16.0948,22.7123,6.21739,19.7992,8.14096,6.77072,16.6951,18.0262,15.4106,17.0367,7.83309,11.4277,14.49,17.3725,14.5868,16.3699,14.4898,14.6674,14.484,14.5493,18.0579,15.1955,14.49,9.50562,
6.77072,15.1918,10.0499,16.5214,10.0774,6.77072,12.1026,21.0558,5.58854,3.53285,15.6615,17.7898,15.7864,20.225,18.5502,15.0835,2,16.0948,18.6126,10.4508,16.3699,15.9291,22.7123,16.6951,14.0366,14.49,14.5868,18.0262,7.53652,17.0367,19.7992,15.1955,16.3699,17.3725,15.4106,23.8192,14.6674,19.8814,6.77087,10.7143,
13.8191,15.1918,15.6615,6.15858,6.77072,16.5214,15.7864,15.9291,2,10.6076,11.4819,16.6951,18.5502,15.9291,6.77072,17.9894,6.77072,12.3677,6.77072,9.34079,6.77072,22.7123,18.6126,6.77072,16.4039,17.0367,16.3699,19.4785,22.792,16.0948,17.3725,15.0426,17.7898,19.7992,20.225,16.3699,23.8192,19.8814,18.0262,21.0558,
9.28763,22.7387,6.77072,6.77072,16.6951,6.77072,16.1181,7.29474,17.3725,10.8861,6.46103,6.77072,14.5455,18.5502,6.77072,18.6126,9.80884,17.2983,20.7534,16.3699,3.4232,2,21.0558,22.792,2.32862,16.4039,12.722,16.5214,17.7898,17.229,19.4785,22.7123,17.0307,16.3699,20.9394,23.8192,17.0367,20.225,10.0117,19.7992,
7.05486,14.5338,10.4162,12.9866,16.5214,15.1124,17.2983,16.6951,17.3725,6.77072,11.5683,18.5502,19.1758,9.92122,22.2323,22.7123,22.792,18.6126,20.9444,7.86339,20.4979,20.225,8.51803,24.1763,12.9311,17.0307,10.3523,9.6588,2.2604,21.0558,2.63358,10.1723,17.7898,18.9359,13.783,15.4218,17.2983,10.6349,17.0367,9.71931,
6.15858,9.23597,8.99441,6.77072,16.5214,2,17.3725,10.4824,15.3905,2.99497,16.6951,6.77072,17.7898,18.5502,13.9371,16.9568,18.6126,17.2983,21.4075,15.915,22.792,14.2806,16.1107,18.9359,26.5655,14.0765,20.9138,17.0307,20.225,9.28763,22.2323,17.7898,21.0558,9.73082,24.1763,7.63767,19.1758,22.7123,20.4979,17.0367,
6.77072,8.18309,7.29474,3.03889,3.07098,3.9628,16.8311,15.4508,13.9654,17.3725,15.1918,10.8059,18.5502,9.40228,15.1656,9.37392,12.405,18.6126,9.52679,2,22.7123,18.9359,17.7898,14.035,17.0307,23.0641,20.9138,22.792,24.0278,11.7289,20.225,9.45887,20.6441,19.1758,11.46,17.7898,21.0558,26.5655,22.2323,17.0367,
2,14.3253,14.0349,21.2763,9.23149,6.55895,18.6708,2,16.6242,18.6126,15.9051,2,22.792,2,10.5335,13.2252,13.6181,8.18626,21.1162,17.7898,23.8192,24.0278,20.9138,8.58422,19.7136,17.0367,9.34072,20.225,17.0307,17.3725,23.0641,22.2323,28.8089,9.92325,29.692,19.1758,17.7898,22.7123,8.79203,20.6441,
6.77072,6.77072,15.341,6.77072,2,17.3725,18.6708,2,15.1709,10.3817,14.5652,9.40107,21.1162,2,16.4297,6.77072,8.78686,17.0199,28.8089,22.792,6.77072,21.2763,17.7898,12.8924,17.7898,10.6536,18.6126,17.7898,23.8192,17.2551,22.2323,20.6441,19.7136,9.95167,23.0641,28.1759,22.7123,24.0278,20.9138,20.225,
6.77072,6.15858,6.21549,13.9651,16.7516,2,2,15.2148,17.3725,21.1162,18.6126,2.50929,2,21.2763,21.1245,15.9291,12.5173,9.36158,22.792,2,2.00315,18.5326,18.9359,17.7898,9.23264,6.77072,17.7898,22.2323,20.6441,19.7136,28.1759,22.4032,22.7123,6.77072,23.786,24.0278,28.8089,17.7898,20.9138,20.225,
2.00008,2,16.4924,6.77072,21.1245,9.44899,7.75187,17.7644,6.56736,2.02973,22.7123,17.7898,21.1545,18.5326,21.1245,15.4427,2,18.6126,4.84343,20.9138,20.225,20.8986,9.89348,10.4297,11.0661,23.7421,18.2219,22.2323,22.792,21.2763,23.786,10.0009,16.7349,25.7685,17.7898,22.4032,19.7136,20.6441,9.00137,24.0278,
7.02129,2.74815,7.30347,18.6126,2,6.77072,19.6109,16.3691,9.63592,10.0481,19.1589,6.77072,4.03731,14.3498,19.753,6.75468,6.77072,8.77072,21.1245,18.5326,22.7123,15.9252,19.7136,21.9253,10.0578,19.4102,20.225,21.1245,24.0347,22.2323,2.3827,22.792,21.1545,21.2763,25.7685,19.6207,22.4032,20.9138,23.786,20.6441,
2,7.80561,17.6196,7.29474,17.7773,8.86779,7.3084,6.77072,10.5885,6.87408,10.7278,2,21.8252,16.0917,17.6797,19.4102,22.6936,18.9393,19.6109,22.792,19.753,22.0031,9.50682,19.6207,21.1245,22.4032,20.6441,21.1545,15.5547,13.7572,22.7123,24.8056,21.2763,23.786,20.225,20.9138,8.69308,25.7685,22.2323,19.7136,
6.15858,19.6109,16.9372,21.5619,11.1898,13.8853,8.78781,17.6706,16.6503,10.1817,21.8252,9.25378,3.02743,18.3172,10.1407,20.9138,22.6936,22.792,6.77072,20.225,19.7742,19.7136,7.42366,19.6207,24.8056,21.1545,10.1772,22.0031,22.2323,22.7123,21.1245,21.2763,15.8935,23.786,22.2107,25.7685,20.7688,8.07216,20.6441,19.753,
6.77072,21.3772,9.66599,21.2763,17.7983,7.3241,20.7688,0.357257,21.1245,10.0155,11.8075,9.97128,10.0556,8.52038,2,21.8252,11.9607,22.6936,22.792,19.753,21.5619,22.2107,20.225,22.7123,20.9138,22.4531,11.9743,8.03193,24.8056,9.08137,9.75476,20.0843,22.0031,21.1545,2,25.7685,20.6441,23.786,19.7742,22.2323,
20.225,20.6441,20.7688,20.9138,21.1245,21.1545,21.2763,21.3772,21.5619,21.8252,22.0031,22.2107,22.2323,22.4531,22.6936,22.7123,22.792,23.786,24.8056,25.7685,
